,caption
10,"Take 3 pieces of rubbish with you when you leave the beach, waterway or…anywhere and you have made a difference. 

@take3forthesea Take 3 achieved a HUGE amount during 2021-2022 
👉 303kg of rubbish kept out of the ocean
👉 23,455 pieces of rubbish kept out of the ocean
👉 190602 students educated online and in person 

#mondaymotivation  #Take3fortheSea #makeadifference #oceancleanup"
11,"cheers to these amazing volunteers coming out for a beach cleanup in mid february. we grabbed just about 60lbs of trash in one hour and enough styrofoam to build a new apartment building. our weekly beach cleanups start up again early march. we will be back in action before you know it🤙🏼

__________________
want to volunteer at our events? signup on our website - www.lbcleanup.com
.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
12,"Beach Clean Up No. 54
Kolaborasi Trash Hero Kuantan, Pusat Jagaan Chahaya (PJC) & Madrasah Al Quran Qurratul Ain Lilbanat-Maqqal
Lokasi: Pantai Pelindung
Tarikh: 12.2.2023 

Jenis sampah yang dikutip: 
• Kebanyakkan sampah piknik yang ditinggalkan pengunjung 
• Bekas makanan plastik sekali guna, botol² plastik & straw plastik sekali guna
• Tin minuman, botol² gelas
• Kotak rokok dan puntung rokok
• Polisterin 
• Pelitup muka sekali pakai
• Lampin pakai buang bayi
• Tali² kecil yang kelihatan seperti dari sisa jala nelayan 

20 beg/guni sampah berjaya dikutip
Berat sampah yang dikutip: Anggaran 90 kg 

Bilangan wira: 54
• 18 kanak-kanak
• 24 remaja
• 12 dewasa 

Terima kasih kepada sponsor² :
• Kak Jue Ahmad untuk guni² sampah 
• Kenn Yeo & Chelsina Kong untuk tangki air portable - dapatlah semua cuci tangan sebelum piknik tadi
• Majlis Bandaraya Kuantan & Alam Flora untuk tong roro di lokasi 

Kolaborasi Trash Hero Kuantan bersama pihak PJC dan Madrasah cukup meriah pada pagi ini. Adik² sukarelawan tetap teguh teruskan pembersihan pantai walaupun hari ni matahari dah keluar awal dan memang panasss ☀️🏖

Terima kasih kepada En. Hasanin & En. Azrul dari PJC dan Kak Su dari Madrasah (serta team masing²) yang sudi hadir bersama-sama memupuk kesedaran berkenaan isu pencemaran sampah dan plastik di Kuantan. Ada juga volunteer baru yang hadir, En. Azizul bersama keluarga. Volunteer² lama Trash Hero dari Kempadang dan IM pun hadir siap bawa peralatan sendiri.  💛🙌 Terbaik semua! 

Dengan teamwork, memang cepat boleh bersihkan pantai. Sesiapa pun boleh pastikan pantai kekal bersih dan cantik. Kalau datang berkelah, bawalah pulang sampah tu. Dan kalau nampak sampah di pantai, tolonglah kutip. Kalau nampak orang buang sampah merata-rata, tegur baik². Semua orang mampu berubah. Kurangkan penggunaan plastik sekali pakai. Jagalah alam sekitar kita semua. 

Jika anda ingin turut serta dalam sesi gotong-royong kami yang akan datang, sila pantau FB dan IG Trash Hero Kuantan untuk butir² lanjut. 

[Sambung di ruang komen]"
13,"I managed today to get rid of some trash. Picked up and removed this ghost net from the ocean. The net itself was about 250kg. Glad to help cleaning the ocean 

#ocean #oceancleanup #clean #diving #padi #paditv #projectaware"
14,"#GalaxyGirls in the Community | Clean Up Manly Cove 🌊  with @pittwater.eco.adventures 

As a National Finalist for @australia_galaxy_pageants I had so much fun continuing my volunteer work to clean up our beaches with this local Northern Beaches organisation. 

So many people coming together to pick up microplastics from the shore, count and survey them. Microplastics are tiny plastic particles (a breakdown of larger plastics) that we and creatures end up ingesting which can be harmful. Today, the crew collected 3kgs of microplastics. 

Pittwater Eco Adventures run school workshops to educate kids - here are some displays of the categories of plastic, as well as a demonstration of how plastic bottle caps can be recycled and repurposed into other products like a key chain!! 

_______________________

#australiagalaxypageants #galaxypageants #msgalaxy #msgalaxyaustralia #msgalaxyaustralia2023 #galaxygirl #pageantgirl #pageantlife #pageantry #beautyforacause #beautyforapurpose #volunteerwork #beachcleanup #cleanupday #oceancleanup #microplastics #communitywork #communitycleanup #manlycove #northernbeachescouncil #moniqueshippen #pittwaterecoadventures"
15,"Hosted by @surfrideraus the Double Island Point Clean Up is a critical annual clean up event, and for the second year in a row, @pelli_bags , and Co-Sponsors Kina, were proud to sponsor the attendance of @oceancrusaders to get the job done! The day was a big success and together we cleaned 280,000m2 of Ocean and Shoreline, Removed 1,200 Kgs of Waste from the beach, recycled 198kgs of plastic, recycled 421kg of steel and had a record 286 volunteers in attendance! Well done to everyone involved 👏👏🙌🙌🌊🌊 #oceancrusaders #pellibags #oceanlovers #saynotoplastic #savethesea #oceancleanup"
16,"The Ocean Cleanup has now officially removed more than 100,000 kg of plastic from the Great Pacific Garbage Patch (GPGP).

Since deployment in August 2021, System 002 (or “Jenny”) has now collected 101,353 kg of plastic over 45 extractions, sweeping an area of ocean of over 3000km2 – comparable to the size of Luxembourg or Rhode Island. Added to the 7,173 kg of plastic captured by our previous prototype systems, The Ocean Cleanup has now collected 108,526 kg of plastic from the GPGP – more than the combined weight of two and a half Boeing 737-800s, or the dry weight of a space shuttle!
-
#oceancleanup"
17,"During this month's cleanup at Esplanade, a total of 17 volunteers joined PBC captains, including a couple high schoolers training to be junior site captains! It was a successful day even though there were high tide and king tide conditions which made it unsafe to go down to the beach. So instead, volunteers focused their efforts on the streets and in the neighborhood.

Volunteers collected 75.5 pounds of garbage which is an average of about 4.5 pounds of trash per person! Additionally, 11 pounds of recycling and 742 cigarette butts. Wowza!

Thank you so much to everyone who participated in this month's cleanup, we can’t wait to see you at our next one! 

Check our monthly calendar to see where you can join us via the link in our bio. 
.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
18,"Week 80 concludes with 2 cleanups in a week, nearly 100 eco enthusiasts joining and we collected 450 kgs+ marine debris. 

Thank you @allcargologisticsltd for joining in full force 🙌

Thank you @beachwarriorsindia for believing in the power of collaboration

Amazing street play performance and support by @youngcreativeproduction 

Supported by @bookasmileindia 
Initiative partners @cartercleanup 

#beachcleanup #beachcleaupmumbai #mumbai #cleanup #cleanupday #oceancleanup #carter #saveocean #savetheplanet #savetheearth #earth #beach #warriors #planet"
19,"The ocean clean-up had removed 100,000 kgs of plastic from the great Pacific! 

#thegreatpacificgarbagepatch #beeconow #plasticcleanup #oceancleanup #plasticpollution #stopplasticpollution #endplasticpollution #plasticpollutioninthesea #zerowaste #theoceancleanup"
20,"Shading the sun and cleaning up the oceans, one pair at the time, 1 lbs at the time 🌞🌊 

#ecofriendly
#sunglasses #beachvibes
#oceancleanup"
21,"Did my first beach cleanup with @sdwhalewatch ! I collected 47 lbs of waste off of Dog Beach, including a tire and 107 cigarette butts. Remember to leave no trace when visiting these beautiful sites 
.
.
.
#sdwhalewatch #beachcleanup #beachpollution #leavenotrace #climatechange #plasticpollution #oceancleanup #whalewatching #conservation #oceanconservation #wildliferehabilitation #beach #protectourplanet #protectouroceans #protectourcoast #california #trashcollecting #recycle #reuse #motherearth #sunset #sunsetcliffs #dogbeach #beachsunset #beachday"
22,"Chinese New Year Beach Clean Up 
Clean Up No. 53
Location: Pantai Taman Gelora
Date:  23.1.2023 

Types of trash collected: 
• Mostly single-use plastic bags
• Used diapers
• Rope
• Clothes
• Canned drinks 

Weight of trash :  37.71 kg 

Number of heroes : 10
• 6 adults 
• 4 kids
(And 2 adult runners helped us transport the trash at the end)
Thank you to all volunteers 🙌🙏💛 

Sponsors : 
• Jue Ahmad & family : Thank you for the used sacks/gunny bags
• Private contractors engaged to clean the park : we appreciate the massive bin to dispose of the trash collected 

We were fortunate the weather cleared up for our Chinese New Year beach clean up at Taman Gelora. This was our first attempt at a clean up here, and certainly will not be our last! The monsoon brought lots of single use plastic bags which were caught on the mangrove plants. 

We were joined by regular and new volunteers. It is always lovely meeting people who share our views on caring for the environment. 

As it is Chinese New Year, every volunteer received a mandarin as a  treat 🍊🍊 Gong Xi Gong Xi and we appreciate all of you! 

There is still a lot more plastic trash to clean up at Pantai Taman Gelora, and we hope to do this on another day. If you regularly use the park, do check out the beach area. We hope to organise another clean up here and could do with more help. 

Our events are run completely by volunteers. If you would like to volunteer at our next clean up, look out for updates on our IG or FB page. If you would like to sponsor used bags/sacks/pickers/tshirts/stationery (or anything else which may aid our clean ups and our educational Kids Programme), please send us a message. Thank you 🙏🙂 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #savetheenvironment #reuse #sacks #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #climatechange #climateaction #pantaitimur #kuantan #gelora #tamangelora #pantaitamangelora #cny2023 #lunarnewyear #chinesenewyear #trashherokuantan #trashheromalaysia #trashheroworld"
23,"Let your wardrobe make a positive difference! This weekend, every Outermost order sponsors the reclaim and recycling of 1kg ocean-bound plastic with @plasticbank 🤙🏽
.
Working in regions including Haiti, Philippines and Indonesia, Plastic Bank employ local communities to recover plastic trash from homes and landfill that would otherwise end up dumped in the ocean. This collection is then processed into plastic pellets to be recycled into new products ♻️
.
Check out our plastic-free, organic 
& recyclable clothing via the bio link!
.
📷 @tomsparkes_
.
#saveourseas #protectourplanet #marineconservation #stoplastic #stopplasticpollution #plasticfree #recyclablefashion #ethicalfashion #ethicalbrand #circularfashion #ocean #sea #lovenature #circulareconomy #oceancleanup"
24,"One kg. is ca. 50 plastic bottles! Thank you @plasticbank 💙 for all of your hard work! 💚 Every order placed this weekend will support the recovery and recycling of 1kg ocean bound plastic! #stoptheplastictide 
www.realitycheck.global

#savetheoceans #savetheplanet #savetheearth #savetheanimals #nomoreplastic #saynotoplastic #noexcuseforsingleuse #oceancleanup #oceans
#climatestrikeonline #climatestrike 
#globalclimatestrike #rivers #fridaysforfuture #hamburg #sustainableclothing #ethicalfashion #organiccotton #renewableenergy #carbonneutral #circularfashion 
#realitycheckglobal #peace #love"
25,"Disabled beach cleanup. If I can, we all can. I spent 2 hours collecting all this off a 5km stretch of beach. It’s almost impossible for me to walk in soft sand due to my ankle and knee injuries and pain but I just couldn’t drive past it. Spent the next 24 hours off my feet because of the pain I put myself through. There’s probably a km of ropes, 1000’s of small pieces of micro plastics, 15 floats, 30 glass and plastic bottles. Around 100 plastic bags and some metal objects. Some timber beams and plenty of smaller pieces. Estimating about 200kgs. The biggest issue here is that I take it off the beach but as there’s no proper way of recycling all this plastic in year 2023, it ends up in landfill. It breaks my heart to know we produce so much of this awful single use plastic that I’m just having it moved to another place for it to continue being the planet’s problem. Manufacturing of all plastic products must have an ethical disposal or recycling procedure if we’re to continue consuming and disposing of this stuff. We’ve trashed the planet so badly in just the last 100 years it’s frightening what our legacy is for the next generations and the health of our oceans and land environments. I’ve been cleaning up beaches/parks/ bush for a very long time and it’s getting worse. Let’s do better and if something doesn’t belong in nature, remove it because the litterer won’t. ✌🏼🌏

#cleanuptheworld #disabilityawareness #ificandoitsocanyou #recycle #cleanbeaches #naturenotplastic #disabledcleanups #nopainnogain #westisbest #westernaustralia #oceancleanup #"
26,"Shout-out to the 💛@ckomiami family for celebrating their 6th year anniversary by cleaning up their neighborhood 💪 Brickell is 202 lbs cleaner 🧹
•
Did you know that keeping our streets clean is essential for the protection of our oceans? 🌊 Over 80% of all plastic waste in the oceans comes from land!! So remind your friends to put their trash in the can 🗑 #KeepMiamiClean
.
.
.
.
.
.
.
#cleanthisbeachup #cleanthisbeachupmiami #miami #miamibeach #brickell #oceancleanup #streetcleanup #communitylove #communityservice #miamithingstodo #savebiscaynebay #plasticfreeliving #stoplittering #litterbug #trashcan #cleanupchallenge #cleansomethingfornothing"
27,"This weekend, from 9am until Midnight sunday. 1kg of ocean-bound plastic is recovered and recycled for every order. 🐳

That's the equivalent of 50, yes 50, plastic bottles! And of course your order will be delivered in 100% plastic-free packaging too...

#plasticfree #plasticpollution #plasticfreepackaging #plasticcleanup #oceancleanup #oceanboundplastic #oceanprotection #oceanlover #sustainablefashionbrands #plasticpollutes #plasticplanet"
28,"We just completed our second ocean plastic cleanup with @4ocean and this round was BIG! We removed a whopping 6,413 pounds of plastic from the ocean over the course of 3 days. This cleanup was in the Puerto Barrios region of Guatemala and took a crew of 20 people and 6 boats to complete. We’re thrilled to be slowly cleaning up our oceans, and we can’t wait to do more! 

#4ocean #oceanplastic #savetheturtles #plasticcrisis #oceancleanup #reducewaste #staygreen #sustainability #makeachange #saveourocean #recycle #flumewater"
29,"Boyan Slat is a Dutch inventor and entrepreneur who founded The Ocean Cleanup, a non-profit organization that develops advanced technologies to remove plastic pollution from the oceans, specifically the Great Pacific Garbage Patch, a large area of the Pacific Ocean where marine debris accumulates. The organization aims to clean up 90% of the plastic in the patch by 2040.

The Ocean Cleanup Interceptor boat in Los Angeles is a vessel designed to remove plastic pollution from rivers before it reaches the ocean. It uses a conveyor belt system to collect debris and can collect up to 50,000 pounds of trash per day. The boat also includes an onboard recycling facility to process the collected plastic.

#oceancleanup #herphero #ocean #oceans #cleanup #losangeles #interceptor007 #trash #trashcleanup #rivers #losangelescalifornia #socal #boyanslat"
30,"This weekend each product sold will help fund the recovery and recycling of 1kg of Ocean-bound plastic with Plastic Bank. 

The less single use plastic in the world = a lot less plastic dumped in the ocean. 

No code needed. Automatically calculated after checkout. 

Looking great whilst looking after the planet 🌎 

Link in Bio ♻️

MANYMOODS.CO.UK

#slowfashionbrand #sustainablefashion #organic #plasticfree #plasticfreeoceans #plasticfreeliving #plasticfreeforthesea #plasticfreelife #plasticfreepackaging #oceanbound #oceancleanup #plasticbank #plasticbankpartner #zeroplastic #zeroplasticwaste #oceanlife #oceanlover #tshirts #hoodies #jumpers #sweaters #vesttop #artprints #totebags #jigsawpuzzles #manymoods"
31,"Did you know the Dune x 4ocean recovered over 16,000 lbs of ocean plastic?! 🥳♻️♻

You can help the 4ocean team pull more plastic by personalizing your Dune with 4ocean-certified recovered ocean plastic or by shopping our exclusive collection!🌊

link in bio✨"
32,"Big waves & Thick trash 
Hey ocean lovers! These storms are rad, and there’s so many waves to catch. Please consider picking up trash for just 15 minutes after surfing. I collected 15 pounds of trash that quickly. Lower tides are best. Let’s catch this crap before it all goes back into the ocean. 

On that note, how about these corporations making millions every quarter be responsible for their garbage reclamation?!? France is leading the way. Let’s move U.S.! How about it @payday_bar @kiehls @plackersdental @gatorade @7eleven @crystalgeysersparkling ??? (Pictured here making micro plastics for my beach) 

I’ve felt super guilty all my life about the garbage I throw out. Out into nature? How about back to the factory. We demand systems that serve nature and the ocean. Not the deep pockets of the few."
33,"Together we’ve removed close to 6000 lbs of plastic from the ocean in a little more than a year! We intend to X3 that number in 2023! Stay tuned a keep supporting us and our mission! 

#seethroughbs 

#oceanpositive #sustainability #sustainablefashion #ecofriendly #ecofriendlyproducts #oceanconservation #oceancleanup #mission"
34,"Beach Clean Up - Clean Up No. 52
Location: Pantai Pelindung
Date:  7.1.2023 

Types of trash collected: 
• Single-use plastic cups, bottles, straws
• Food wrappers
• Glass bottles
• Polystyrene
• Cigarette boxes
• Used diapers 
• Face masks

Bags of trash collected : 12 sacks
Weight of trash : Approximately 72 kg 

Number of heroes : 28
• 7 adults 
• 21 kids 

Sponsor : Jue Ahmad & family 💛
Thank you for the used sacks. These were reused for trash collection today and were super sturdy.

Today was our first clean up for the new year. We were joined by many new volunteers : children and staff from Pusat Jagaan Cahaya who live in the Pelindung area. It was heartening to see the enthusiastic young girls happily cleaning the beach inspite of their difficult background. We had some regular volunteers join in too which is always a pleasure! 💛 

If you would like to volunteer at our next clean up, look out for updates on our IG or FB page. If you would like to sponsor used bags/sacks, pickers or tshirts for our volunteers (or anything else which may aid our clean ups), do drop us a message. Thank you 🙏 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #savetheenvironment #reuse #sacks #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #climatechange #climateaction #zerowaste #pantaitimur #kuantan #pelindungbeach #pantaipelindung #sutravilla #trashherokuantan #trashheromalaysia #trashheroworld #trashhero"
35,"Ocean Blue Opal Ring! 

6mm wide with an inlay of ocean Blue opals.

For every ring sold in January, we will make a donation to remove 5lbs of trash from the ocean! 

GoodRings, Rings That Do Good!

#smallbusiness #oceancleanup #blueopals #opalring #weddingringforher #GoodRings"
36,"Our first goal, with your support, is to remove and recycle 10,000,000 pounds of water waste to help keep the oceans clean and healthy for future generations.​​​​​​​​
​​​​​​​​
A single bracelet makes the difference. Link in bio. ​​​​​​​​
​​​​​​​​
#handmadebracelets #virtumade #terracycle #terracycleglobalfoundation #bracelet #bracelets #handmadebracelet #sustainable #sustainablejewelry #ecologic #sustainability #sustainableaccessories #ecofriendly #sustainableliving #environment #zerowaste #sustainablefashion #oceancleanup #recycle #artisanmade #artisan #beachliving #beachlifestyle #beachlife"
